WEAP_name,SWITCH_name,load_zone_name,gen_tech,capacity_limit_mw,capacity_weight,RoR_or_Reservoir,not_generating_in_WEAP,EIA_plant_id,River,Notes
Boundary,Boundary,WA_ID_AVA,Hydro_NonPumped,1118.6,1,Reservoir,0,6433,Clark Fork and Pend Oreille,
Box Canyon,Box Canyon,WA_ID_AVA,Hydro_NonPumped,90,1,RoR,0,3891,Clark Fork and Pend Oreille,
Boysen Reservoir,Boysen,WY_NW,Hydro_NonPumped,15,1,Reservoir,0,505,Big Horn River,
Brownlee,Brownlee,ID_S_OR_E,Hydro_NonPumped,675,1,Reservoir,0,811,Snake River,
Bucks Creek,Bucks Creek,CA_PGE_N,Hydro_NonPumped,66,1,RoR,0,220,Feather River,
Butt Valley,Butt Valley,CA_PGE_N,Hydro_NonPumped,40,1,RoR,0,221,Butt Valley,
C J Strike,C J Strike,ID_S_OR_E,Hydro_NonPumped,82.8,1,RoR,0,812,Snake River,
Cabinet Gorge,Cabinet Gorge,WA_ID_AVA,Hydro_NonPumped,265.2,1,Reservoir,0,833,Clark Fork and Pend Oreille,
Camanche Reservoir,Camanche,CA_PGE_CEN,Hydro_NonPumped,10.8,1,Reservoir,0,537,Mokelumne River,
Camino,Camino,CA_PGE_N,Hydro_NonPumped,157.8,1,RoR,0,430,Middle Fork American River,
Canyon Ferry,Canyon Ferry,MT_SW,Hydro_NonPumped,49.8,1,Reservoir,0,6400,Missouri River,
Caribou 1,Caribou 1,CA_PGE_N,Hydro_NonPumped,73.8,1,RoR,0,222,Cairbou,
Caribou 2,Caribou 2,CA_PGE_N,Hydro_NonPumped,117.9,1,RoR,0,223,Cairbou,
Carmen Smith,Carmen Smith,OR_W,Hydro_NonPumped,114.3,1,RoR,0,3067,McKenzie River,
Castaic,Castaic,CA_SCE_CEN,Hydro_NonPumped,56,1,RoR,1,392,SWP West Branch,
Castaic Lake,NA,NA,NA,NA,NA,NA,1,NA,Castaic Creek,NA
Cedar Falls,Cedar Falls (WA),WA_W,Hydro_NonPumped,30,1,Reservoir,0,6430,Upper Cedar River,
Chandler,Chandler,OR_WA_BPA,Hydro_NonPumped,12,1,RoR,0,6406,Yakima River,
Chelan,Chelan,WA_N_CEN,Hydro_NonPumped,59.2,1,Reservoir,0,6424,Chelan River,
Chicago Park,Chicago Park,CA_PGE_N,Hydro_NonPumped,44,1,RoR,0,412,Bear CA River,
Chief Joseph,Chief Joseph,WA_N_CEN,Hydro_NonPumped,2456.2,1,Reservoir,0,3921,Columbia River,
Cochrane,Cochrane,MT_NE,Hydro_NonPumped,60.4,1,RoR,0,2182,Missouri River,
Colgate,Colgate,CA_PGE_N,Hydro_NonPumped,315,1,RoR,0,454,Yuba River,
Collierville Powerhouse,Collierville Powerhouse,CA_PGE_CEN,Hydro_NonPumped,253,1,RoR,0,54555,Stanislaus River,
Control Gorge,Control Gorge,CA_SCE_CEN,Hydro_NonPumped,37.5,1,RoR,0,393,West Owens River,
Coolidge Reservoir,NA,NA,NA,NA,NA,NA,0,NA,Gila River,"Not in SWITCH list, can't find EIA plant id corresponding"
Copco 1 and 2,NA,NA,NA,NA,NA,NA,1,NA,Klamath River,NA
Cougar Dam and Reservoir,NA,NA,NA,NA,NA,NA,1,NA,South Fork McKenzie River,NA
Cowlitz Falls,Cowlitz Falls,WA_W,Hydro_NonPumped,70,1,RoR,0,7427,Cowlitz River,
Cresta,Cresta,CA_PGE_N,Hydro_NonPumped,73.8,1,RoR,0,231,Feather River,
Cushman 1,Cushman 1,WA_W,Hydro_NonPumped,43.2,1,Reservoir,0,3914,Skokomish River,
Cushman 2,Cushman 2,WA_W,Hydro_NonPumped,84.6,1,RoR,0,3915,Skokomish River,
Cutler,Cutler Hydro,UT_N,Hydro_NonPumped,30,1,Reservoir,0,3646,Bear,
Davis Dam,Davis Dam,AZ_NW,Hydro_NonPumped,254.8,1,Reservoir,0,152,Colorado River,
Detroit,Detroit,OR_W,Hydro_NonPumped,100,1,Reservoir,0,3077,North Santiam River,
Devil Canyon,Devil Canyon,CA_SCE_S,Hydro_NonPumped,276.2,1,RoR,1,436,SWP East Branch,
Dexter and Looking Point,Dexter,OR_W,Hydro_NonPumped,15,0.11,Reservoir,0,3078,Willamette River,Dexter and Lookout point are separate in SWITCH so generation for Dexter and Looking Point (typo) are split between the two
Dexter and Looking Point,Lookout Point,OR_W,Hydro_NonPumped,120,0.89,Reservoir,0,3083,Willamette River,Dexter and Lookout point are separate in SWITCH so generation for Dexter and Looking Point (typo) are split between the two
Diablo,Diablo,WA_W,Hydro_NonPumped,182.4,1,Reservoir,0,6432,Skagit,
Diamond Valley,NA,NA,NA,NA,NA,NA,1,NA,Colo Aqueduct,NA
